OAVelocity,Peakmg,RMSmg,Kurtosis,CrestFactor,Skewness,Deviation,Peak-to-Peak Displacement,Time
326,2082,1473,14,852,14,316,13,2023-02-16 07:44:53
324,2064,1460,22,670,12,312,19,2023-02-16 07:45:19
339,2217,1568,40,337,11,316,9,2023-02-16 07:48:13
330,2111,1493,14,765,12,315,8,2023-02-16 07:51:14
334,2150,1521,18,827,13,331,16,2023-02-16 07:52:16
344,2186,1546,23,655,12,329,11,2023-02-16 07:53:17
326,2079,1471,13,784,11,320,10,2023-02-16 07:56:20
343,2238,1583,53,632,6,335,11,2023-02-16 07:58:15
332,2085,1475,36,824,9,319,17,2023-02-16 07:58:43
358,2311,1635,78,841,10,318,13,2023-02-16 07:59:55
348,2195,1553,24,863,9,329,11,2023-02-16 08:00:49
334,2180,1542,39,741,15,321,16,2023-02-16 08:06:52
322,2041,1444,17,734,17,306,19,2023-02-16 08:07:51
335,2147,1519,15,697,12,302,12,2023-02-16 08:10:11
334,2200,1556,23,914,14,317,14,2023-02-16 08:13:13
319,2055,1454,23,725,16,306,12,2023-02-16 08:14:12
322,2023,1431,35,603,10,301,13,2023-02-16 08:14:49
332,2142,1515,18,542,14,304,12,2023-02-16 08:17:20
342,2229,1577,13,734,17,312,16,2023-02-16 08:23:11
327,2094,1481,24,679,18,306,25,2023-02-16 08:24:42
317,1997,1413,22,683,16,313,11,2023-02-16 08:26:14
321,2081,1472,32,795,18,307,11,2023-02-16 08:26:48
351,2137,1512,29,724,13,313,15,2023-02-16 08:28:48
331,2133,1509,36,663,17,304,17,2023-02-16 08:32:22
308,1986,1405,47,831,21,299,9,2023-02-16 08:32:49
323,2087,1476,8,750,19,307,14,2023-02-16 08:37:17
327,2101,1486,35,776,18,303,19,2023-02-16 08:40:49
366,2304,1630,24,618,21,313,17,2023-02-16 08:41:44
329,2146,1518,29,593,19,310,12,2023-02-16 08:43:51
325,2054,1453,14,702,19,305,15,2023-02-16 08:48:47
328,2126,1504,30,645,19,307,17,2023-02-16 08:50:49
338,2201,1557,43,852,17,301,18,2023-02-16 08:51:19
314,1999,1414,22,648,13,314,9,2023-02-16 08:51:50
321,2041,1444,22,734,19,304,16,2023-02-16 08:54:48
329,2096,1483,30,676,14,305,12,2023-02-16 08:57:47
320,2063,1459,18,645,13,296,11,2023-02-16 09:01:11
332,2118,1498,31,674,19,309,19,2023-02-16 09:02:46
317,2037,1441,32,813,17,300,14,2023-02-16 09:05:15
340,2235,1581,25,685,16,301,12,2023-02-16 09:06:46
325,2040,1443,59,890,13,313,16,2023-02-16 09:08:18
322,2126,1504,22,655,17,301,9,2023-02-16 09:08:50
323,2031,1437,34,633,18,309,19,2023-02-16 09:10:17
326,2068,1463,41,813,25,314,12,2023-02-16 09:11:51
325,2072,1466,26,730,20,302,11,2023-02-16 09:12:19
326,2038,1442,32,735,16,310,21,2023-02-16 09:14:45
319,2077,1469,20,663,19,297,10,2023-02-16 09:15:15
310,1978,1399,23,710,17,295,15,2023-02-16 09:17:17
369,2234,1580,75,906,15,324,14,2023-02-16 09:17:48
323,2070,1464,27,669,20,297,14,2023-02-16 09:19:49
336,2121,1500,73,1067,15,314,14,2023-02-16 09:24:41
