OAVelocity,Peakmg,RMSmg,Kurtosis,CrestFactor,Skewness,Deviation,Peak-to-Peak Displacement,Time
202,897,635,26,529,-24,93,16,2023-02-16 08:26:14
203,917,649,16,484,-30,94,11,2023-02-16 08:26:48
211,943,667,50,587,-19,95,17,2023-02-16 08:28:48
204,930,658,24,525,-23,94,11,2023-02-16 08:32:22
206,957,677,19,464,-31,94,11,2023-02-16 08:32:49
212,988,699,16,496,-28,96,13,2023-02-16 08:37:17
207,955,676,14,532,-21,95,14,2023-02-16 08:40:49
213,965,683,35,606,-20,95,17,2023-02-16 08:41:44
204,927,656,11,544,-23,95,14,2023-02-16 08:43:51
206,938,664,17,500,-29,95,9,2023-02-16 08:48:47
204,937,663,12,537,-24,96,14,2023-02-16 08:50:49
205,923,653,26,501,-22,96,11,2023-02-16 08:51:19
199,912,645,7,465,-26,94,9,2023-02-16 08:51:50
200,920,651,22,501,-27,95,13,2023-02-16 08:54:48
208,916,648,25,557,-25,94,17,2023-02-16 08:57:47
203,941,666,9,447,-27,95,9,2023-02-16 09:01:11
206,910,644,19,506,-26,94,18,2023-02-16 09:02:46
203,920,651,28,526,-25,93,14,2023-02-16 09:05:15
209,931,659,16,488,-26,93,20,2023-02-16 09:06:46
204,916,648,33,509,-15,93,11,2023-02-16 09:08:18
200,916,648,11,508,-28,93,9,2023-02-16 09:08:50
207,936,662,6,468,-26,94,16,2023-02-16 09:10:17
205,926,655,13,538,-30,93,13,2023-02-16 09:11:51
204,944,668,17,563,-21,94,9,2023-02-16 09:12:19
202,921,652,9,543,-26,93,11,2023-02-16 09:14:45
204,941,666,11,464,-30,92,14,2023-02-16 09:15:15
205,970,686,5,491,-28,94,12,2023-02-16 09:17:17
210,955,676,21,521,-24,95,12,2023-02-16 09:17:48
211,941,666,17,469,-30,92,22,2023-02-16 09:19:49
206,947,670,10,449,-32,97,14,2023-02-16 09:24:41
208,936,662,22,464,-30,95,17,2023-02-16 09:25:24
208,934,661,11,508,-27,95,19,2023-02-16 09:29:44
